OVERLAYS
    ">Saving","> Сохранить"
    ">Checking for updates",">Проверка обновлений"


BUTTONS
    ">Settings",">Настройки"


MENU ITEMS
    ">Current page",">Текущая страница"
    ">Menu",">Меню"
    ">Files",">Файлы"
    ">Themes",">Темы"
    ">Plugins",">Плагины"
    ">Security",">Защита"


CURRENT PAGE
    ">Page title",">Титул страницы"
    ">Page keywords",">Ключевые слова страницы"
    ">Page description",">Описание страницы"
    "> Delete page \((.*?)\)","> Удалить страницу ($1)"
    "return confirm\('Delete (.*?)\?'\)","return confirm('Удалить $1?')"


MENU
    ">Website title",">Название сайта"
    ">Page to display on homepage",">Какая страница является главной"
    ">visit",">Открыть"
    ">Add page","> Добавить страницу"


FILES
    ">Upload",">Отправить на сервер"
    ">Delete files","> Удалить файлы"


THEMES AND PLUGINS
    "> Check for updates","> Проверка обновлений"
    "return confirm\('Remove (.*?)\?'\)","return confirm('Удалить $1?')"
    "> Check for updates","> Проверить обновления"
    ">Active",">Активна"
    "return confirm\('Activate (.*?) theme\?'\)","return confirm('Активировать $1 тему?')"
    ">Activate","> Активировать"
    ">More info","> Больше сведений"
    ">Install","> Установить"
    ">Installed version:",">Установленная версия:"
    ">Custom repository",">Свой вариант репозитория"
    "Enter URL to custom repository","Введите URL своего варианта репозитория"
    ">Add", "> Добавить"
    ">Read more about custom repositories","> Узнать больше о добавлении своих репозиториев"


SECURITY
    ">Admin login URL","> URL для входа админа"
    ">Save your login URL to log into your website next time:",">сохраните/добавьте в закладки ваш URL для входа после изменений:"
    ">Password",">Пароль"
    "Old password","Старый пароль"
    "New password","Новый пароль"
    ">Change password","> Изменить пароль"
    
    ">Backup",">Резервное копирование"
    ">Backup website","Сделать резервную копию сайта"
    "> How to restore backup","> Как восстанавливать резервные копии?"
    ">Improved security \(Apache only\)",">Усиленная защита (Работает только с Apache)"
    ">HTTPS redirect, 30 day caching, iframes allowed only from same origin, mime type sniffing prevention, stricter cookie and refferer policy.",">Принудительное HTTPS, 30 дневное кеширование, iframes разрешены только с того же источника, защита от сниффинга mime-типов, более строгие политики для cookie и refferer механизмов."
    ">ON \(warning: may break your website\)",">ВКЛЮЧИТЬ (Внимание: может сломать Ваш вебсайт!)"
    ">OFF \(reset htaccess to default\)",">ОТКЛЮЧИТЬ (сбросить htaccess файл до дефолта)"
    ">Read more before enabling","> Узнать больше перед тем, как включать"
    ">Last 5 logins",">Последние 5 сохраненных входов"


STATISTICS
    ">Statistics",">Статистика"
    ">Today",">Сегодня"
    ">This week",">На этой неделе"
    ">Most popular page",">Наиболее популярная страница"
    ">Pageviews last two weeks",">Просмотры за последние две недели"
    ">Sessions last two weeks",">Сессии за последние две недели"
    ">Sessions",">Сессии"
    ">Pageviews",">Просмотры"


FOOTER
    ">News",">Новости"
    ">Community",">Сообщество"
    ">Docs",">Документация(англ.)"
    ">Donate",">Поддержать разработчика"
    ">Shop/Merch",">магазин"
